id,user_id,category_id,title,content,status,view_count,created_at,updated_at,deadline_at
2,1010,7,マッチングアプリで会った人と、2回目のデートに進むべき？,"<p>最近、マッチングアプリで同い年の男性と知り合い、先日初めて会ってきました。</p>

<p>プロフィールやメッセージのやりとりでは、趣味も合うし、話も面白くて、すごく期待していたんです。実際に会ってみても、写真通りの爽やかな人で、会話も弾んで、2時間があっという間でした。</p>

<p>でも、正直に言うと、恋愛対象として「キュン」とする感じはあまりなくて…。すごく良い人だとは思うんですが、友達の延長線上という感覚が強いです。</p>

<p>彼からは「また会いたい」と言われているのですが、このまま2回目に進むべきか悩んでいます。</p>

<p>1回目でピンとこなくても、何度か会っているうちに好きになることもあるのでしょうか？<br>
それとも、早めに見切りをつけて、次の人を探した方がいいのでしょうか？</p>

<p>皆さんの経験談を聞かせてください。</p>

【追記】2026年2月17日
引き続き、宜しくです。",published,0,2026-02-15 18:00:00+00,2026-02-17 08:47:41.796+00,2026-02-15 20:50:00+00
109088,1009,14,夫婦のコミュニケーションは足りてますか？,"夫婦のコミュニケーションは足りてますか？<br />
<br />
<br />
夫婦の時間を十分に取れないことってありますよね。子どものせいで時間が取れないのはいいわけでしょうか？積極的にとろうと思っていないだけだったり。<br />
",published,0,2025-07-07 23:53:22+00,2025-11-24 07:02:21+00,
104809,1009,2,結婚相手の条件で一番重要なのは何ですか？,"<p>結婚相手の条件で一番重要なのは何ですか？</p>
<p>この前、飲み会で「学歴や身長が低い男はまず恋愛対象にならない」と言い切っている女友達がいました。<br />
<br />
彼女曰く、「子どもへの遺伝を考えると、いわゆるハイスペックな優良遺伝子がほしい」のだそうです。<br />
<br />
私は、一緒にいて気が合うとか、好きな趣味が一致していることのほうが大切だと思うのですが…。皆さんはどう思われますか？</p>",published,0,2025-05-08 03:17:06+00,2025-11-26 04:38:08+00,
119870,1006,7,彼の年収は私の4倍なのに、デート代はいつも割り勘…どう思う？,"私の彼は、デート代をいつもきっちり割り勘にします。<br />
初デートのときも、彼から「ドライブにいこう」と誘われました。水族館へ行き、夜景がきれいなレストランで食事をたのしんだ後、帰りの車のなかで彼から「今日は1万円ちょうだい」といわれました。<br />

最初は何のことだかわからず、「…え？」と戸惑っていると、「今日かかったお金だよ？」といわれ、ハッとしました。でもトータルで考えても、一人1万もいっていない気がしたので、「けっこうかかったね～」というと、「うん、車ででかけたからね」とガソリン代まで請求されました。<br />

私は派遣社員で年収200万。一人暮らしをしているので、経済状況はかなり苦しいです。<br />
一方、彼は大きな会社に勤めており、住まいは社宅。年収も800万を超えていると聞きました。<br />

決して「男性は女性に奢るべき」と思っているわけではないのですが、どちらかの収入が低かったり、自由に使えるお金に差があるなら、余裕があるほうが多く払ってもいいのでは…と思ってしまいました。（全額奢りでなくても、６：４とか）<br />

皆さんならこういう彼氏、どう思いますか？<br />
「彼が冷たい」と思ってしまう私の考えがおかしいのでしょうか…。<br />
客観的なご意見をお聞きしたいです。<br />
",published,0,2025-04-13 08:11:00+00,2025-11-14 07:58:27+00,
105154,1004,14,配偶者に妥協しても問題なかったことは次のうちどれですか？,<p>この前、飲み会で「学歴や身長が低い男はまず恋愛対象にならない」と言い切っている女友達がいました。彼女曰く、「子どもへの遺伝を考えると、いわゆるハイスペックな優良遺伝子がほしい」のだそうです。皆さんはどう思われますか？</p>,published,0,2025-05-12 09:53:01+00,2025-11-26 04:38:35+00,
108525,1004,2,顔がタイプじゃない相手も恋愛対象になりますか？,"<p>顔がタイプじゃない相手も恋愛対象になりますか？<br />
婚活アプリで知り合って、3カ月。連絡はほぼ毎日とっていて、これまで3回ほどデートをした彼がいます。どうなんですかね？男女で意見も違ってくるかもしれないですが。</p>",published,0,2025-06-30 02:26:26+00,2025-11-26 04:37:06+00,
108574,1008,18,彼の変わった性癖を受け入れられる？,"<p>お付き合いして1年半の彼氏がいます。彼は30歳、私は28歳。年齢的にもそろそろ結婚を考えているのですが、彼のセックスが変態的で、正直引いてしまいます…。<br />
<br />
彼はイク寸前になると、必ず「どこに出してほしい？」と聞いてきます。最初は意味がわからなくて、「え……」と戸惑っていると、「顔に出していい？」といわれました。<br />
<br />
その後も要求は激しくなり、最近は決まって「顔か口」です。私は精液のにおいが苦手なので、いくら好きな人であっても受け入れられません。以前、そのことを彼にも伝えたのですが、「なんで。俺の事好きじゃないの？精液飲むとか普通だよ」と相手にしてもらえませんでした。<br />
<br />
それでもどうしても嫌…と伝えると、今度は「アナルに出したい」という始末。私は普通のセックスがしたいのに、彼の要求がエスカレートしすぎてついていけません。<br />
<br />
私はどんなに彼のことは好きでも、無理なモノは無理です。。皆さんはこういう変態的な男性と付き合った経験はおありですか？<br />
<br />
そのときどんなプレイを受けいれたか、もしくは拒否したか。教えていただけますと参考になります。</p>",published,0,2025-07-01 01:29:19+00,2025-11-24 07:59:41+00,
109357,1008,6,恋人の「浮気防止策」してる？してない？,"<p>恋人の「浮気防止策」してる？してない？<br />
<br />
私の友人で、お互いの位置情報がわかるアプリをいれているカップルがいました。そこまでするのはさすがになーと思うのですが、彼氏の浮気を防止するためにしていることってありますか？<br />
<br />
ちなみに私は日頃から「浮気したらすぐ分かるからね！」と念を押してます。効果があるのかはナゾですが……。</p>",published,0,2025-07-10 02:21:53+00,2025-11-26 04:41:24+00,
112428,1001,2,一人暮らしvs実家暮らし、結婚が遠のくのはどっち？,"<p>ひとり暮らしvs実家暮らし、結婚が遠のくのはどっち？<br />
<br />
ひとり暮らしなら、金銭感覚がしっかりしていて、自立しているイメージがありますよね。<br />
でもひとり暮らしの期間が長くなりすぎると、結婚願望が失われそうですし、<br />
いざ同棲すると人と暮らすことにストレスに感じてしまいそう。<br />
<br />
実家暮らしだと、家事などのマイルールがない分、他人との暮らしにも適応しやすそう。<br />
あと単純に貯金できますよね！<br />
だけど、孤独を感じにくいから、婚活にも本腰を入れにくいのかな…と思ったり。<br />
<br />
どちらにも一長一短あると思いますが、皆さんはどちらのほうがより結婚が遠のくと思いますか？</p>",published,0,2025-11-20 02:21:49+00,2025-01-09 02:59:45+00,
112912,1004,2,奨学金を完済する前に結婚してもよいでしょうか？,"<p>奨学金を完済する前に結婚してもよいでしょうか？<br />
結婚するなら挙式や出産を考えている方は多いと思いますが、お相手が奨学金の返済中で貯蓄もままならない場合、結婚にふみきれますか？</p>",published,0,2025-12-07 17:32:44+00,2025-11-24 07:01:20+00,
83203,1005,14,専業主婦は夫に家事を手伝わせるべきでしょうか？,"<p>家事に協力的な旦那さんをもつ専業主婦の友人が、主婦は大変だとか言っているのでとても違和感あります。</p>
<p>もっと感謝しなきゃいけないと思うんだけど。</p>",published,0,2025-09-11 01:42:11+00,2025-11-14 07:58:42+00,
83234,1004,2,熟年離婚の原因が「性格の不一致」はあり得えますか？,"<p>よく「性格の不一致」で離婚する人がいますが、何年も付き合って結婚したのに性格の不一致ってどういうことですか？<br />
性格わかってて結婚したと思うのですが・・。</p>",published,0,2025-09-13 00:25:43+00,2025-11-24 07:03:15+00,
83574,1004,14,男性が女性と会話する際にベルトを触る理由はどれですか？,<p>女性と会話する際、無意識かもしれませんがベルトに手をあててるのはなぜですか？会社の男性と話す際、この仕草をよくみます。</p>,published,0,2025-09-18 12:55:21+00,2025-11-24 07:03:14+00,
